size,time,top_individuals,crossover,mutation_rate,board_size
30,0.015000996589660644,3,permutations,0.21000000000000002,5
30,0.015626025199890137,3,combinations_with_rep,0.21000000000000002,5
45,0.014772646427154541,3,product,0.22000000000000003,5
30,0.01343838930130005,3,permutations,0.22000000000000003,5
30,0.01721813440322876,3,combinations_with_rep,0.22000000000000003,5
45,0.011335732936859131,3,product,0.22999999999999998,5
30,0.013438396453857422,3,permutations,0.22999999999999998,5
30,0.018366696834564208,3,combinations_with_rep,0.22999999999999998,5
45,0.012200605869293214,3,product,0.24,5
30,0.013438396453857422,3,permutations,0.24,5
30,0.01593855142593384,3,combinations_with_rep,0.24,5
45,0.010781965255737304,3,product,0.25,5
30,0.013835091590881348,3,permutations,0.25,5
80,0.01508596658706665,4,product,0.08,5
60,0.013053863048553467,4,permutations,0.08,5
50,0.01641962766647339,4,combinations_with_rep,0.08,5
80,0.015157251358032227,4,product,0.09,5
60,0.016407346725463866,4,permutations,0.09,5
50,0.016178991794586182,4,combinations_with_rep,0.09,5
80,0.01437596082687378,4,product,0.1,5
60,0.01609481334686279,4,permutations,0.1,5
50,0.014063427448272705,4,combinations_with_rep,0.1,5
80,0.014391260147094726,4,product,0.11,5
30,0.017914786338806152,3,combinations_with_rep,0.25,5
80,0.024702517986297606,4,product,0.05,5
60,0.033223743438720706,4,permutations,0.05,5
50,0.021407661437988282,4,combinations_with_rep,0.05,5
80,0.019376280307769774,4,product,0.060000000000000005,5
60,0.01930420398712158,4,permutations,0.060000000000000005,5
50,0.01734489917755127,4,combinations_with_rep,0.060000000000000005,5
80,0.019688804149627686,4,product,0.07,5
60,0.01657891273498535,4,permutations,0.07,5
50,0.017969937324523927,4,combinations_with_rep,0.07,5
60,0.012032053470611571,4,permutations,0.11,5
50,0.012344558238983155,4,combinations_with_rep,0.11,5
80,0.012272491455078124,4,product,0.12000000000000001,5
60,0.01484473705291748,4,permutations,0.12000000000000001,5
50,0.01312586545944214,4,combinations_with_rep,0.12000000000000001,5
80,0.012272813320159913,4,product,0.13,5
60,0.012275376319885255,4,permutations,0.13,5
50,0.013125872611999512,4,combinations_with_rep,0.13,5
80,0.012969605922698975,4,product,0.14,5
60,0.010325226783752441,4,permutations,0.14,5
50,0.01312586545944214,4,combinations_with_rep,0.14,5
80,0.012897539138793945,4,product,0.15000000000000002,5
60,0.011250739097595214,4,permutations,0.15000000000000002,5
50,0.014219691753387451,4,combinations_with_rep,0.15000000000000002,5
80,0.013835411071777343,4,product,0.16,5
60,0.01243164300918579,4,permutations,0.16,5
50,0.012500827312469482,4,combinations_with_rep,0.16,5
80,0.010469441413879394,4,product,0.16999999999999998,5
60,0.011803412437438964,4,permutations,0.16999999999999998,5
50,0.014304122924804687,4,combinations_with_rep,0.16999999999999998,5
80,0.011334922313690186,4,product,0.18,5
60,0.011407005786895751,4,permutations,0.18,5
50,0.012344567775726319,4,combinations_with_rep,0.18,5
80,0.011407005786895751,4,product,0.19,5
60,0.010553946495056152,4,permutations,0.19,5
50,0.011650338172912597,4,combinations_with_rep,0.19,5
80,0.011719522476196289,4,product,0.2,5
60,0.010781965255737304,4,permutations,0.2,5
50,0.01563809871673584,4,combinations_with_rep,0.2,5
80,0.010938217639923095,4,product,0.21000000000000002,5
60,0.013210053443908692,4,permutations,0.21000000000000002,5
50,0.015938565731048585,4,combinations_with_rep,0.21000000000000002,5
80,0.011094481945037841,4,product,0.22000000000000003,5
60,0.013141188621520996,4,permutations,0.22000000000000003,5
50,0.013750898838043212,4,combinations_with_rep,0.22000000000000003,5
80,0.0123445725440979,4,product,0.22999999999999998,5
60,0.011250741481781006,4,permutations,0.22999999999999998,5
50,0.013450450897216797,4,combinations_with_rep,0.22999999999999998,5
80,0.010625698566436768,4,product,0.24,5
